time,npm,delta
136.0,20.6,0.005061454830783556
137.0,20.6,0.008726646259971648
138.0,20.6,0.012217304763960306
139.0,20.6,0.01658062789394613
140.0,20.6,0.017278759594743863
141.0,20.6,0.02181661564992912
142.0,20.6,0.01308996938995747
143.0,20.6,-0.0027925268031909274
144.0,20.6,-0.016929693744344998
145.0,20.6,-0.027401669256310976
146.0,20.6,-0.026878070480712675
147.0,20.6,-0.015009831567151233
148.0,20.6,0.00645771823237902
149.0,20.6,0.031241393610698498
150.0,20.6,0.05445427266222308
151.0,20.6,0.0736528944341607
152.0,20.6,0.08028514559173915
153.0,20.6,0.07190756518216637
154.0,20.6,0.05009094953223726
155.0,20.6,0.02530727415391778
156.0,20.6,0.00017453292519943296
157.0,20.6,-0.016929693744344998
158.0,20.6,-0.01780235837034216
159.0,20.6,-0.009599310885968814
160.0,20.6,0.00017453292519943296
161.0,20.6,-0.2790781473938933
162.0,20.6,-0.5897467542488839
163.0,20.6,-0.6108652381980153
164.0,20.6,-0.6108652381980153
165.0,20.6,-0.6108652381980153
166.0,20.6,-0.6108652381980153
167.0,20.6,-0.6108652381980153
168.0,20.6,-0.6108652381980153
169.0,20.6,-0.6108652381980153
170.0,20.6,-0.6108652381980153
171.0,20.6,-0.6108652381980153
172.0,20.6,-0.6108652381980153
173.0,20.6,-0.6108652381980153
174.0,20.6,-0.6108652381980153
175.0,20.6,-0.6108652381980153
176.0,20.6,-0.6108652381980153
177.0,20.6,-0.6108652381980153
178.0,20.6,-0.6108652381980153
179.0,20.6,-0.6108652381980153
180.0,20.6,-0.6108652381980153
181.0,20.6,-0.6108652381980153
182.0,20.6,-0.6108652381980153
183.0,20.6,-0.6108652381980153
184.0,20.6,-0.6108652381980153
185.0,20.6,-0.6108652381980153
186.0,20.6,-0.6108652381980153
187.0,20.6,-0.6108652381980153
188.0,20.6,-0.6108652381980153
189.0,20.6,-0.6108652381980153
190.0,20.6,-0.6108652381980153
191.0,20.6,-0.6108652381980153
192.0,20.6,-0.6108652381980153
193.0,20.6,-0.6108652381980153
194.0,20.6,-0.6108652381980153
195.0,20.6,-0.6108652381980153
196.0,20.6,-0.6108652381980153
197.0,20.6,-0.6108652381980153
198.0,20.6,-0.6108652381980153
199.0,20.6,-0.6108652381980153
200.0,20.6,-0.6108652381980153
201.0,20.6,-0.6108652381980153
202.0,20.6,-0.6108652381980153
203.0,20.6,-0.6108652381980153
204.0,20.6,-0.6108652381980153
205.0,20.6,-0.6108652381980153
206.0,20.6,-0.6108652381980153
207.0,20.6,-0.6108652381980153
208.0,20.6,-0.6108652381980153
209.0,20.6,-0.6108652381980153
210.0,20.6,-0.6108652381980153
211.0,20.6,-0.6108652381980153
212.0,20.6,-0.6108652381980153
213.0,20.6,-0.6108652381980153
214.0,20.6,-0.6108652381980153
215.0,20.6,-0.6108652381980153
216.0,20.6,-0.6108652381980153
217.0,20.6,-0.6108652381980153
218.0,20.6,-0.6108652381980153
219.0,20.6,-0.6108652381980153
220.0,20.6,-0.6108652381980153
221.0,20.6,-0.6108652381980153
222.0,20.6,-0.6108652381980153
223.0,20.6,-0.6108652381980153
224.0,20.6,-0.6108652381980153
225.0,20.6,-0.6108652381980153
226.0,20.6,-0.6108652381980153
227.0,20.6,-0.6108652381980153
228.0,20.6,-0.6108652381980153
229.0,20.6,-0.6108652381980153
230.0,20.6,-0.6108652381980153
231.0,20.6,-0.6108652381980153
232.0,20.6,-0.6108652381980153
233.0,20.6,-0.6108652381980153
234.0,20.6,-0.6108652381980153
235.0,20.6,-0.6108652381980153
236.0,20.6,-0.6108652381980153
237.0,20.6,-0.6108652381980153
238.0,20.6,-0.6108652381980153
239.0,20.6,-0.6108652381980153
240.0,20.6,-0.6108652381980153
241.0,20.6,-0.6108652381980153
242.0,20.6,-0.6108652381980153
243.0,20.6,-0.6108652381980153
244.0,20.6,-0.6108652381980153
245.0,20.6,-0.6108652381980153
246.0,20.6,-0.6108652381980153
247.0,20.6,-0.6108652381980153
248.0,20.6,-0.6108652381980153
249.0,20.6,-0.6108652381980153
250.0,20.6,-0.6108652381980153
