npm,delta
20.6,0.0050614548307835
20.6,0.0087266462599716
20.6,0.0122173047639603
20.6,0.0165806278939461
20.6,0.0172787595947438
20.6,0.0218166156499291
20.6,0.0130899693899574
20.6,-0.0027925268031909
20.6,-0.0169296937443449
20.6,-0.0274016692563109
20.6,-0.0268780704807126
20.6,-0.0150098315671512
20.6,0.006457718232379
20.6,0.0312413936106984
20.6,0.054454272662223
20.6,0.0736528944341607
20.6,0.0802851455917391
20.6,0.0719075651821663
20.6,0.0500909495322372
20.6,0.0253072741539177
20.6,0.0001745329251994
20.6,-0.0169296937443449
20.6,-0.0178023583703421
20.6,-0.0095993108859688
20.6,0.0001745329251994
20.6,-0.2790781473938933
20.6,-0.5897467542488839
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
20.6,-0.6108652381980153
